cliente_id,regiao,segmento_negocio,canal_relacionamento,porte_cliente,distancia_cd_km,volume_medio_entregue_kg,entregas_mes,ticket_medio_rs,receita_mensal_estimada_rs,lead_time_medio_dias,entregas_no_prazo_pct,custo_medio_entrega_rs,custo_logistico_mensal_rs,custo_por_kg_rs,taxa_ocorrencias_pct,variabilidade_demanda_pct,pedidos_urgentes_pct,prioridade_contrato,risco_operacional_score,anomalia_sintetica,tipo_anomalia_sintetica,cluster_teorico_sintetico
CLI_00001,Sul,Varejo,Marketplace,Pequeno,105.5,81.6,4,2328.61,9314.42,3.47,99.11,325.95,1303.8,3.9945,11.89,50.13,38.27,Baixa,27.32,0,normal,Baixo volume instável
CLI_00002,Sudeste,Indústria,Distribuidor,Grande,134.6,584.8,10,4243.14,42431.38,2.83,97.21,280.25,2802.5,0.4792,5.87,25.38,22.12,Média,18.2,0,normal,Recorrentes padrão
CLI_00003,Sudeste,Varejo,Venda direta,Grande,130.9,281.8,7,1838.57,12870.01,3.46,87.31,280.49,1963.43,0.9954,6.14,49.63,58.62,Baixa,32.7,0,normal,Baixo volume instável
CLI_00004,Nordeste,E-commerce,Distribuidor,Pequeno,379.3,917.8,7,5833.62,40835.36,4.88,84.35,707.91,4955.37,0.7713,6.01,22.65,25.58,Média,31.94,0,normal,Longa distância alto custo
CLI_00005,Sudeste,Varejo,B2B,Pequeno,61.1,1539.2,19,10152.08,192889.6,1.36,95.39,209.2,3974.8,0.1359,0.69,7.35,10.15,Alta,8.75,0,normal,Estratégicos urbanos
CLI_00006,Nordeste,Varejo,B2B,Médio,5.0,789.4,3,4612.01,13836.04,5.13,77.44,1103.31,3309.93,1.3977,4.91,52.74,26.88,Média,40.3,0,normal,Críticos operacionais
CLI_00007,Sudeste,E-commerce,B2B,Grande,225.7,193.2,2,2477.22,4954.43,3.05,98.45,419.92,839.84,2.1735,4.74,46.98,39.45,Média,21.3,0,normal,Baixo volume instável
CLI_00008,Centro-Oeste,Atacado,B2B,Grande,145.2,194.5,3,1295.43,3886.29,1.98,82.5,444.86,1334.58,2.2872,6.05,56.45,8.25,Baixa,28.76,0,normal,Baixo volume instável
CLI_00009,Nordeste,Varejo,B2B,Pequeno,61.6,1427.8,17,7460.87,126834.73,1.09,96.56,274.54,4667.18,0.1923,1.94,6.47,19.58,Premium,8.87,0,normal,Estratégicos urbanos
CLI_00010,Centro-Oeste,Indústria,Distribuidor,Médio,45.2,616.1,11,2741.3,30154.32,2.79,94.05,262.58,2888.38,0.4262,2.46,14.12,32.21,Média,17.19,0,normal,Recorrentes padrão
